,Column_1,Column_2,Column_3
1190,JeffreyBCozzens,JeffreyBCozzens,Tweet
1191,barbaracantalk,ghost_wales,Retweet
1192,ghost_wales,ghost_wales,Tweet
1193,DanielTurnerPTF,DanielTurnerPTF,Tweet
1194,Leehamnoon,Cernovich,Retweet
1195,Cernovich,Cernovich,Tweet
1196,silentstorm012,JeffreyBCozzens,Retweet
1197,JeffreyBCozzens,JeffreyBCozzens,Tweet
1198,derek_j_knowles,Cernovich,Retweet
1199,Cernovich,Cernovich,Tweet
1200,dibber44,CawthornforNC,Retweet
1201,CawthornforNC,CawthornforNC,Tweet
1202,SNPareDuff,Ayaan,Retweet
1203,Ayaan,Ayaan,Tweet
1204,CulpeperPatriot,Chicago1Ray,Retweet
1205,Chicago1Ray,Chicago1Ray,Tweet
1206,Favre4champ,seanhannity,Retweet
1207,seanhannity,seanhannity,Tweet
1208,fluoresenz,SteveHiltonx,Retweet
1209,SteveHiltonx,SteveHiltonx,Tweet
1210,ChaseMcMichael,RepFranklin,Retweet
1211,RepFranklin,RepFranklin,Tweet
1212,mrs_vandam66,RepFranklin,Retweet
1213,RepFranklin,RepFranklin,Tweet
1214,LouisGerber8,SecBlinken,Reply
1215,LouisGerber8,StateDept,Reply
1216,Jon34562266,JeffreyBCozzens,Retweet
1217,JeffreyBCozzens,JeffreyBCozzens,Tweet
1218,walley1027,Chicago1Ray,Retweet
1219,Chicago1Ray,Chicago1Ray,Tweet
1220,gymnerd2,HawleyMO,Retweet
1221,HawleyMO,HawleyMO,Tweet
1222,JoWilli11221261,Chicago1Ray,Retweet
1223,Chicago1Ray,Chicago1Ray,Tweet
1224,Seascape_Eagle,Cernovich,Retweet
1225,Cernovich,Cernovich,Tweet
1226,Wolfspirit29,LedgeSomewhere,Retweet
1227,LedgeSomewhere,LedgeSomewhere,Tweet
1228,eisenbrey_dave,cnni,Reply
1229,eisenbrey_dave,DavidAndelman,Reply
1230,eisenbrey_dave,CNNOpinion,Reply
1231,krngwn2,seanhannity,Retweet
1232,seanhannity,seanhannity,Tweet
1233,jazzymsc,seanhannity,Retweet
1234,seanhannity,seanhannity,Tweet
1235,cherylkanere,Chicago1Ray,Retweet
1236,Chicago1Ray,Chicago1Ray,Tweet
1237,wilsonbigsis,RepFranklin,Retweet
1238,RepFranklin,RepFranklin,Tweet
1239,mamagolden66,seanhannity,Retweet
1240,seanhannity,seanhannity,Tweet
1241,AneetahD,Chicago1Ray,Retweet
1242,Chicago1Ray,Chicago1Ray,Tweet
1243,notifiedmedia,RepMeijer,Reply
1244,notifiedmedia,POTUS,Reply
1245,notifiedmedia,StateDept,Reply
1246,notifiedmedia,WHCOS,Reply
1247,mrsunil58,NikkiHaley,Retweet
1248,NikkiHaley,NikkiHaley,Tweet
1249,ChelseaD_Smith,theMRC,Retweet
1250,theMRC,theMRC,Tweet
1251,nightwolf698,seanhannity,Retweet
1252,seanhannity,seanhannity,Tweet
1253,Michael79972120,Chicago1Ray,Retweet
1254,Chicago1Ray,Chicago1Ray,Tweet
1255,mamachanga2,Cernovich,Retweet
1256,Cernovich,Cernovich,Tweet
1257,Goldstarsis1,glennbeck,Retweet
1258,glennbeck,glennbeck,Tweet
1259,peckish1959,Wisedog4,Retweet
1260,Wisedog4,Wisedog4,Tweet
1261,mrbr3c,mrbr3c,Retweet
1262,mrbr3c,mrbr3c,Tweet
1263,dannio1970,seanhannity,Retweet
1264,seanhannity,seanhannity,Tweet
1265,Lupitasawyer16,Chicago1Ray,Retweet
1266,Chicago1Ray,Chicago1Ray,Tweet
1267,KristaJohnson1,KristaJohnson1,Tweet
1268,Brandon02282009,seanhannity,Retweet
1269,seanhannity,seanhannity,Tweet
1270,loochc1,Cernovich,Retweet
1271,Cernovich,Cernovich,Tweet
1272,grannydeedree,TNjhd,Retweet
