,Column_1,Column_2,Column_3
1348,t36071581,JeffreyBCozzens,Retweet
1349,JeffreyBCozzens,JeffreyBCozzens,Tweet
1350,barbaracantalk,ghost_wales,Retweet
1351,ghost_wales,ghost_wales,Tweet
1352,DanielTurnerPTF,DanielTurnerPTF,Tweet
1353,Leehamnoon,Cernovich,Retweet
1354,Cernovich,Cernovich,Tweet
1355,silentstorm012,JeffreyBCozzens,Retweet
1356,JeffreyBCozzens,JeffreyBCozzens,Tweet
1357,derek_j_knowles,Cernovich,Retweet
1358,Cernovich,Cernovich,Tweet
1359,dibber44,CawthornforNC,Retweet
1360,CawthornforNC,CawthornforNC,Tweet
1361,SNPareDuff,Ayaan,Retweet
1362,Ayaan,Ayaan,Tweet
1363,CulpeperPatriot,Chicago1Ray,Retweet
1364,Chicago1Ray,Chicago1Ray,Tweet
1365,Favre4champ,seanhannity,Retweet
1366,seanhannity,seanhannity,Tweet
1367,fluoresenz,SteveHiltonx,Retweet
1368,SteveHiltonx,SteveHiltonx,Tweet
1369,ChaseMcMichael,RepFranklin,Retweet
1370,RepFranklin,RepFranklin,Tweet
1371,mrs_vandam66,RepFranklin,Retweet
1372,RepFranklin,RepFranklin,Tweet
1373,LouisGerber8,SecBlinken,Reply
1374,LouisGerber8,StateDept,Reply
1375,Jon34562266,JeffreyBCozzens,Retweet
1376,JeffreyBCozzens,JeffreyBCozzens,Tweet
1377,walley1027,Chicago1Ray,Retweet
1378,Chicago1Ray,Chicago1Ray,Tweet
1379,gymnerd2,HawleyMO,Retweet
1380,HawleyMO,HawleyMO,Tweet
1381,JoWilli11221261,Chicago1Ray,Retweet
1382,Chicago1Ray,Chicago1Ray,Tweet
1383,Seascape_Eagle,Cernovich,Retweet
1384,Cernovich,Cernovich,Tweet
1385,Wolfspirit29,LedgeSomewhere,Retweet
1386,LedgeSomewhere,LedgeSomewhere,Tweet
1387,eisenbrey_dave,cnni,Reply
1388,eisenbrey_dave,DavidAndelman,Reply
1389,eisenbrey_dave,CNNOpinion,Reply
1390,krngwn2,seanhannity,Retweet
1391,seanhannity,seanhannity,Tweet
1392,jazzymsc,seanhannity,Retweet
1393,seanhannity,seanhannity,Tweet
1394,cherylkanere,Chicago1Ray,Retweet
1395,Chicago1Ray,Chicago1Ray,Tweet
1396,wilsonbigsis,RepFranklin,Retweet
1397,RepFranklin,RepFranklin,Tweet
1398,mamagolden66,seanhannity,Retweet
1399,seanhannity,seanhannity,Tweet
1400,AneetahD,Chicago1Ray,Retweet
1401,Chicago1Ray,Chicago1Ray,Tweet
1402,notifiedmedia,RepMeijer,Reply
1403,notifiedmedia,POTUS,Reply
1404,notifiedmedia,StateDept,Reply
1405,notifiedmedia,WHCOS,Reply
1406,mrsunil58,NikkiHaley,Retweet
1407,NikkiHaley,NikkiHaley,Tweet
1408,ChelseaD_Smith,theMRC,Retweet
1409,theMRC,theMRC,Tweet
1410,nightwolf698,seanhannity,Retweet
1411,seanhannity,seanhannity,Tweet
1412,Michael79972120,Chicago1Ray,Retweet
1413,Chicago1Ray,Chicago1Ray,Tweet
1414,mamachanga2,Cernovich,Retweet
1415,Cernovich,Cernovich,Tweet
1416,Goldstarsis1,glennbeck,Retweet
1417,glennbeck,glennbeck,Tweet
1418,peckish1959,Wisedog4,Retweet
1419,Wisedog4,Wisedog4,Tweet
1420,mrbr3c,mrbr3c,Retweet
1421,mrbr3c,mrbr3c,Tweet
1422,dannio1970,seanhannity,Retweet
1423,seanhannity,seanhannity,Tweet
1424,Lupitasawyer16,Chicago1Ray,Retweet
1425,Chicago1Ray,Chicago1Ray,Tweet
1426,KristaJohnson1,KristaJohnson1,Tweet
1427,Brandon02282009,seanhannity,Retweet
1428,seanhannity,seanhannity,Tweet
1429,loochc1,Cernovich,Retweet
1430,Cernovich,Cernovich,Tweet
1431,grannydeedree,TNjhd,Retweet
1432,TNjhd,TNjhd,Tweet
1433,baileylinny4,Chicago1Ray,Retweet
1434,Chicago1Ray,Chicago1Ray,Tweet
1435,ConnieJohnsom,RepFranklin,Retweet
1436,RepFranklin,RepFranklin,Tweet
1437,Barbara49962035,Chicago1Ray,Retweet
1438,Chicago1Ray,Chicago1Ray,Tweet
1439,Daft22655997,MadeInTheUSANJ,Retweet
1440,MadeInTheUSANJ,MadeInTheUSANJ,Tweet
1441,marty58471985,seanhannity,Reply
1442,CliffShew,Cernovich,Retweet
1443,Cernovich,Cernovich,Tweet
1444,gaylord_focker0,gaylord_focker0,Tweet
1445,Lakecrazy,Cernovich,Retweet
1446,Cernovich,Cernovich,Tweet
1447,Terrym59Terry,Jereme45,Retweet
1448,Jereme45,Jereme45,Tweet
1449,MadeInTheUSANJ,laurenboebert,Reply
1450,DavidAJMHoward,CatholicArena,Retweet
1451,CatholicArena,CatholicArena,Tweet
1452,12Paws3Tails,Chicago1Ray,Retweet
1453,Chicago1Ray,Chicago1Ray,Tweet
1454,SOU8121,RepFranklin,Retweet
1455,RepFranklin,RepFranklin,Tweet
1456,DonnaRocky1,Cernovich,Retweet
1457,Cernovich,Cernovich,Tweet
1458,jlboul,joshua_landis,Retweet
1459,joshua_landis,joshua_landis,Tweet
1460,swirllysunspot,1Quetzalcoatl1,Reply
1461,swirllysunspot,hrt6017,Reply
1462,swirllysunspot,bouttobeastorm,Reply
1463,swirllysunspot,Shopdogg2,Reply
1464,swirllysunspot,ThereseOSulliv2,Reply
1465,swirllysunspot,dogsdontliket,Reply
1466,swirllysunspot,Klee34036780,Reply
1467,swirllysunspot,JDW714,Reply
1468,kruano447,kruano447,Tweet
1469,michaeljeaton,seanhannity,Retweet
1470,seanhannity,seanhannity,Tweet
1471,Geovanny0720,seanhannity,Retweet
1472,seanhannity,seanhannity,Tweet
1473,Jujube04734066,mikepompeo,Retweet
1474,mikepompeo,mikepompeo,Tweet
1475,jorgenseptember,LedgeSomewhere,Retweet
1476,LedgeSomewhere,LedgeSomewhere,Tweet
1477,dlindianos,Cernovich,Retweet
1478,Cernovich,Cernovich,Tweet
1479,thecrippler3,seanhannity,Retweet
1480,seanhannity,seanhannity,Tweet
1481,Wisedog4,Wisedog4,Tweet
1482,troballis,JeffreyBCozzens,Retweet
1483,JeffreyBCozzens,JeffreyBCozzens,Tweet
1484,apodacafr,seanhannity,Retweet
1485,seanhannity,seanhannity,Tweet
1486,DpMcCarthy,Cernovich,Retweet
1487,Cernovich,Cernovich,Tweet
1488,jnmzin,seanhannity,Retweet
1489,seanhannity,seanhannity,Tweet
1490,slmueller72,CawthornforNC,Retweet
1491,CawthornforNC,CawthornforNC,Tweet
1492,K1erry,Cernovich,Retweet
1493,Cernovich,Cernovich,Tweet
1494,gadams50601b,JeffreyBCozzens,Retweet
1495,JeffreyBCozzens,JeffreyBCozzens,Tweet
1496,BobJustBobOkay,Cernovich,Retweet
1497,Cernovich,Cernovich,Tweet
1498,sagitldy,HawleyMO,Retweet
1499,HawleyMO,HawleyMO,Tweet
1500,JustMe73forAll,Chicago1Ray,Retweet
1501,Chicago1Ray,Chicago1Ray,Tweet
1502,DeborahFriedler,mikepompeo,Retweet
1503,mikepompeo,mikepompeo,Tweet
1504,CliffShew,Chicago1Ray,Retweet
1505,Chicago1Ray,Chicago1Ray,Tweet
1506,Unit1127,Unit1127,Tweet
1507,GIS_Reports,GIS_Reports,Tweet
1508,DonAAllard,DonAAllard,Tweet
1509,dwe1965,JeffreyBCozzens,Retweet
1510,JeffreyBCozzens,JeffreyBCozzens,Tweet
1511,TruthTeIIerz,JeffreyBCozzens,Retweet
1512,JeffreyBCozzens,JeffreyBCozzens,Tweet
1513,fitzy924,Cernovich,Retweet
1514,Cernovich,Cernovich,Tweet
1515,Tree417711,seanhannity,Retweet
1516,seanhannity,seanhannity,Tweet
1517,Levi17twit,seanhannity,Retweet
1518,seanhannity,seanhannity,Tweet
1519,rocomars,seanhannity,Retweet
1520,seanhannity,seanhannity,Tweet
1521,VanMagnus,Chicago1Ray,Retweet
1522,Chicago1Ray,Chicago1Ray,Tweet
1523,CTMathewes,CTMathewes,Tweet
1524,U2Patty,seanhannity,Retweet
1525,seanhannity,seanhannity,Tweet
1526,Trexgma17,Chicago1Ray,Retweet
1527,Chicago1Ray,Chicago1Ray,Tweet
1528,Brandon4Mathew,Chicago1Ray,Retweet
1529,Chicago1Ray,Chicago1Ray,Tweet
1530,GrandmaPatloves,Chicago1Ray,Retweet
1531,Chicago1Ray,Chicago1Ray,Tweet
1532,ninco62,Chicago1Ray,Retweet
1533,Chicago1Ray,Chicago1Ray,Tweet
1534,myep00,seanhannity,Retweet
1535,seanhannity,seanhannity,Tweet
1536,mldavis63,seanhannity,Retweet
1537,seanhannity,seanhannity,Tweet
1538,laurie98815023,Chicago1Ray,Retweet
1539,Chicago1Ray,Chicago1Ray,Tweet
1540,JeanBeitel,CHHR01,Retweet
1541,CHHR01,CHHR01,Tweet
1542,JuneB09157964,HawleyMO,Retweet
1543,HawleyMO,HawleyMO,Tweet
1544,CanOpenerRuler,Cernovich,Retweet
1545,Cernovich,Cernovich,Tweet
1546,K_covfefe,Chicago1Ray,Retweet
1547,Chicago1Ray,Chicago1Ray,Tweet
1548,GlikmanPatty,Chicago1Ray,Retweet
1549,Chicago1Ray,Chicago1Ray,Tweet
1550,deacs1105,seanhannity,Retweet
1551,seanhannity,seanhannity,Tweet
1552,BaizuoBu,seanhannity,Retweet
1553,seanhannity,seanhannity,Tweet
1554,steveo570,steveo570,Tweet
1555,kbullit1961,RepFranklin,Retweet
1556,RepFranklin,RepFranklin,Tweet
1557,JoyBell75174267,Chicago1Ray,Retweet
1558,Chicago1Ray,Chicago1Ray,Tweet
1559,dickman_robert,TNjhd,Retweet
1560,TNjhd,TNjhd,Tweet
1561,gmwameripatriot,seanhannity,Retweet
1562,seanhannity,seanhannity,Tweet
1563,occamsneighbor,Chicago1Ray,Retweet
1564,Chicago1Ray,Chicago1Ray,Tweet
1565,FootPlastic,GaryLineker,Reply
1566,mchitty61,Chicago1Ray,Retweet
1567,Chicago1Ray,Chicago1Ray,Tweet
1568,patriottom4,Chicago1Ray,Retweet
1569,Chicago1Ray,Chicago1Ray,Tweet
1570,waybaby,Chicago1Ray,Retweet
1571,Chicago1Ray,Chicago1Ray,Tweet
1572,gwgillett,Chicago1Ray,Retweet
1573,Chicago1Ray,Chicago1Ray,Tweet
1574,jorge_ldc,Cernovich,Retweet
1575,Cernovich,Cernovich,Tweet
1576,JaneM21805604,seanhannity,Retweet
1577,seanhannity,seanhannity,Tweet
1578,wittyka8,Jereme45,Retweet
1579,Jereme45,Jereme45,Tweet
1580,Dwhthediver,Chicago1Ray,Retweet
1581,Chicago1Ray,Chicago1Ray,Tweet
1582,waynethebutcher,seanhannity,Retweet
1583,seanhannity,seanhannity,Tweet
1584,CandyCa47797626,seanhannity,Retweet
1585,seanhannity,seanhannity,Tweet
1586,Betelo1,mikepompeo,Retweet
1587,mikepompeo,mikepompeo,Tweet
1588,claire07210754,Cernovich,Retweet
1589,Cernovich,Cernovich,Tweet
1590,Jaycee55823897,Chicago1Ray,Retweet
1591,Chicago1Ray,Chicago1Ray,Tweet
1592,Jonbradley1723,seanhannity,Retweet
1593,seanhannity,seanhannity,Tweet
1594,PRAISETRIUNEGOD,PRAISETRIUNEGOD,Retweet
1595,PRAISETRIUNEGOD,PRAISETRIUNEGOD,Tweet
1596,adarpe,TNjhd,Retweet
1597,TNjhd,TNjhd,Tweet
1598,DebbieAndrle,SenTomCotton,Retweet
1599,SenTomCotton,SenTomCotton,Tweet
1600,TrumpTajMaWall,Chicago1Ray,Retweet
1601,Chicago1Ray,Chicago1Ray,Tweet
1602,DebbieAndrle,HawleyMO,Retweet
1603,HawleyMO,HawleyMO,Tweet
1604,Chatsmith2,Chicago1Ray,Retweet
1605,Chicago1Ray,Chicago1Ray,Tweet
1606,jalohawi,RepFranklin,Retweet
1607,RepFranklin,RepFranklin,Tweet
1608,Chapa4Roel,Chicago1Ray,Retweet
1609,Chicago1Ray,Chicago1Ray,Tweet
1610,GlikmanPatty,Cernovich,Retweet
1611,Cernovich,Cernovich,Tweet
1612,1973Grupo,18hariprakash18,Retweet
1613,18hariprakash18,18hariprakash18,Tweet
1614,DeezInDetroit,Cernovich,Retweet
1615,Cernovich,Cernovich,Tweet
1616,pskjzjas,seanhannity,Retweet
1617,seanhannity,seanhannity,Tweet
1618,WizePenguin,WizePenguin,Retweet
1619,WizePenguin,WizePenguin,Tweet
1620,PRAISETRIUNEGOD,PRAISETRIUNEGOD,Retweet
1621,PRAISETRIUNEGOD,PRAISETRIUNEGOD,Tweet
1622,WizePenguin,WizePenguin,Retweet
1623,WizePenguin,WizePenguin,Tweet
1624,WizePenguin,WizePenguin,Retweet
1625,WizePenguin,WizePenguin,Tweet
1626,industrialdemoc,EndiZentarmi,Retweet
1627,EndiZentarmi,EndiZentarmi,Tweet
1628,suprspreadr,RepFranklin,Retweet
1629,RepFranklin,RepFranklin,Tweet
1630,JohnTuc72335789,TNjhd,Retweet
1631,TNjhd,TNjhd,Tweet
1632,WizePenguin,WizePenguin,Retweet
1633,WizePenguin,WizePenguin,Tweet
1634,SarughG,Cernovich,Retweet
1635,Cernovich,Cernovich,Tweet
1636,Bethorama0526,PRAISETRIUNEGOD,Retweet
1637,PRAISETRIUNEGOD,PRAISETRIUNEGOD,Tweet
1638,Haquers,Cernovich,Retweet
1639,Cernovich,Cernovich,Tweet
1640,patvgarst,Chicago1Ray,Retweet
1641,Chicago1Ray,Chicago1Ray,Tweet
1642,RonaldP96617678,RonaldP96617678,Tweet
1643,Tklmanners17,Cernovich,Retweet
1644,Cernovich,Cernovich,Tweet
1645,Keeponfracking,Chicago1Ray,Retweet
1646,Chicago1Ray,Chicago1Ray,Tweet
1647,Lmstone19,seanhannity,Retweet
1648,seanhannity,seanhannity,Tweet
1649,backyardconserv,TheFirstonTV,Retweet
1650,TheFirstonTV,TheFirstonTV,Tweet
1651,TrustedTasks,seanhannity,Retweet
1652,seanhannity,seanhannity,Tweet
1653,backyardconserv,Kredo0,Retweet
1654,Kredo0,Kredo0,Tweet
1655,AndreaCrowe9,Kredo0,Retweet
1656,Kredo0,Kredo0,Tweet
1657,PatriotJ20,Cernovich,Retweet
1658,Cernovich,Cernovich,Tweet
1659,sonmanvb,bennyjohnson,Retweet
1660,bennyjohnson,bennyjohnson,Tweet
1661,SGrulaw,Chicago1Ray,Retweet
1662,Chicago1Ray,Chicago1Ray,Tweet
1663,EnglishLionhea1,Chicago1Ray,Retweet
1664,Chicago1Ray,Chicago1Ray,Tweet
1665,lovvvveerrrr,seanhannity,Retweet
1666,seanhannity,seanhannity,Tweet
1667,PRAISETRIUNEGOD,PRAISETRIUNEGOD,Retweet
1668,PRAISETRIUNEGOD,PRAISETRIUNEGOD,Tweet
1669,AfghanKobold88,RonnyJacksonTX,Retweet
1670,RonnyJacksonTX,RonnyJacksonTX,Tweet
1671,elizabetty_e,seanhannity,Retweet
1672,seanhannity,seanhannity,Tweet
1673,gambi_c,RepFranklin,Retweet
1674,RepFranklin,RepFranklin,Tweet
1675,ClyburnRandy,Chicago1Ray,Retweet
1676,Chicago1Ray,Chicago1Ray,Tweet
1677,stacnra,Chicago1Ray,Retweet
1678,Chicago1Ray,Chicago1Ray,Tweet
1679,YMaslavi,Chicago1Ray,Retweet
1680,Chicago1Ray,Chicago1Ray,Tweet
1681,lydia35656790,seanhannity,Retweet
1682,seanhannity,seanhannity,Tweet
1683,Big_T_in_the_OC,Cernovich,Retweet
1684,Cernovich,Cernovich,Tweet
1685,LDVBU,seanhannity,Retweet
1686,seanhannity,seanhannity,Tweet
1687,brentanddebbie,RepFranklin,Retweet
1688,RepFranklin,RepFranklin,Tweet
1689,RotoRooter36,Cernovich,Retweet
1690,Cernovich,Cernovich,Tweet
1691,PuddinandP,Cernovich,Retweet
1692,Cernovich,Cernovich,Tweet
1693,SammirSouza,seanhannity,Retweet
1694,seanhannity,seanhannity,Tweet
1695,naderehsani12,mdubowitz,Retweet
1696,mdubowitz,mdubowitz,Tweet
1697,d_electropolis,Cernovich,Retweet
1698,Cernovich,Cernovich,Tweet
1699,pinpuller,seanhannity,Retweet
1700,seanhannity,seanhannity,Tweet
1701,DeezInDetroit,Chicago1Ray,Retweet
1702,Chicago1Ray,Chicago1Ray,Tweet
1703,miltyhonza,seanhannity,Retweet
1704,seanhannity,seanhannity,Tweet
1705,TravlrSuz,Cernovich,Retweet
1706,Cernovich,Cernovich,Tweet
1707,teedub504,teedub504,Tweet
1708,christina_7mrs,seanhannity,Retweet
1709,seanhannity,seanhannity,Tweet
1710,tatsumoto_ft,mikepompeo,Retweet
1711,mikepompeo,mikepompeo,Tweet
1712,GhostWritingUSA,seanhannity,Retweet
1713,seanhannity,seanhannity,Tweet
1714,GmThompson7,seanhannity,Retweet
1715,seanhannity,seanhannity,Tweet
1716,PSM_Tugs,SenatorHassan,Reply
1717,HunterRay,Cernovich,Retweet
1718,Cernovich,Cernovich,Tweet
1719,seanhannity,seanhannity,Tweet
1720,susann95624993,Jereme45,Retweet
1721,Jereme45,Jereme45,Tweet
1722,BasedCyborg,Cernovich,Retweet
1723,Cernovich,Cernovich,Tweet
1724,suzeq75711615,Cernovich,Retweet
1725,Cernovich,Cernovich,Tweet
1726,Calan_Mai,Cernovich,Retweet
1727,Cernovich,Cernovich,Tweet
1728,GrimmHorror,Cernovich,Retweet
1729,Cernovich,Cernovich,Tweet
1730,Dentonreen,RepFranklin,Retweet
1731,RepFranklin,RepFranklin,Tweet
1732,esferaceleste,CatholicArena,Retweet
1733,CatholicArena,CatholicArena,Tweet
1734,LisaMcC42451573,HawleyMO,Retweet
1735,HawleyMO,HawleyMO,Tweet
1736,RoslynMRushing,RepFranklin,Retweet
1737,RepFranklin,RepFranklin,Tweet
1738,EnosJill,Cernovich,Retweet
1739,Cernovich,Cernovich,Tweet
1740,1Atsuhimerose2,CatholicArena,Retweet
1741,CatholicArena,CatholicArena,Tweet
1742,Gothamguardian1,Cernovich,Retweet
1743,Cernovich,Cernovich,Tweet
1744,NoWayHome5,RepLeeZeldin,Retweet
1745,RepLeeZeldin,RepLeeZeldin,Tweet
1746,seangrady314,Cernovich,Retweet
1747,Cernovich,Cernovich,Tweet
1748,ImDavidDunn,ImDavidDunn,Tweet
1749,wendyhullfish,Cernovich,Retweet
1750,Cernovich,Cernovich,Tweet
1751,PeeWee91197678,Jereme45,Retweet
1752,Jereme45,Jereme45,Tweet
1753,SERENAWINDS0R,blaireerskine,Reply
1754,TeresaSommerfe1,Cernovich,Retweet
1755,Cernovich,Cernovich,Tweet
1756,priority,RepGregSteube,Retweet
1757,RepGregSteube,RepGregSteube,Tweet
1758,LogisticsBtc,Cernovich,Retweet
1759,Cernovich,Cernovich,Tweet
1760,wlelandj,RepJayapal,Reply
1761,104thSpringer,Cernovich,Retweet
1762,Cernovich,Cernovich,Tweet
1763,Biden_Is_Lost,Jim_Jordan,Retweet
1764,Jim_Jordan,Jim_Jordan,Tweet
1765,Criostoir_Bmore,bennyjohnson,Retweet
1766,bennyjohnson,bennyjohnson,Tweet
1767,DenisDaly,DavQuinn,Reply
1768,BobNYC59,TrueBlueResists,Reply
1769,FCNCGOP,dcexaminer,Retweet
1770,dcexaminer,dcexaminer,Tweet
1771,agabus98,agabus98,Tweet
1772,blueyedlvrgirl,Jereme45,Retweet
1773,Jereme45,Jereme45,Tweet
1774,Neil92915798,EndiZentarmi,Retweet
1775,EndiZentarmi,EndiZentarmi,Tweet
1776,bartb1067,Cernovich,Retweet
1777,Cernovich,Cernovich,Tweet
1778,DrTeufelsdrockh,CatholicArena,Retweet
1779,CatholicArena,CatholicArena,Tweet
1780,Humphrago,Cernovich,Retweet
1781,Cernovich,Cernovich,Tweet
1782,SnydyMan,RepFranklin,Retweet
1783,RepFranklin,RepFranklin,Tweet
1784,MRkDarcangelo,Cernovich,Retweet
1785,Cernovich,Cernovich,Tweet
1786,DanOHerrin,BuzzPatterson,Retweet
1787,BuzzPatterson,BuzzPatterson,Tweet
1788,93quart,CatholicArena,Retweet
1789,CatholicArena,CatholicArena,Tweet
1790,Lablover621,Cernovich,Retweet
1791,Cernovich,Cernovich,Tweet
1792,LiKwongKuen1,mikepompeo,Retweet
1793,mikepompeo,mikepompeo,Tweet
1794,MrMorga24933765,CatholicArena,Retweet
1795,CatholicArena,CatholicArena,Tweet
1796,CatholicArena,CatholicArena,Tweet
1797,Ivorpabst,DavQuinn,Reply
1798,bmorrissey,DLeonhardt,Mention
1799,tmikie2015,Cernovich,Retweet
1800,Cernovich,Cernovich,Tweet
1801,Apaulothirteen1,Cernovich,Retweet
1802,Cernovich,Cernovich,Tweet
1803,ActionTime,ActionTime,Retweet
1804,ActionTime,ActionTime,Tweet
1805,UsuallyRightt,Cernovich,Retweet
1806,Cernovich,Cernovich,Tweet
1807,jteismann,dcexaminer,Retweet
1808,dcexaminer,dcexaminer,Tweet
1809,SnydyMan,Cernovich,Retweet
1810,Cernovich,Cernovich,Tweet
1811,HobdayTheLegend,Cernovich,Retweet
1812,Cernovich,Cernovich,Tweet
1813,Barbara757276,Cernovich,Retweet
1814,Cernovich,Cernovich,Tweet
1815,mddewald,Cernovich,Retweet
1816,Cernovich,Cernovich,Tweet
1817,ciszewsm,ciszewsm,Tweet
1818,owlsfan954,semcbride100,Retweet
1819,semcbride100,semcbride100,Tweet
1820,BarBQ_MACncheez,CoryMillsFL,Retweet
1821,CoryMillsFL,CoryMillsFL,Tweet
1822,smlrun,NewDay,Reply
1823,carrieholmesB,elianayjohnson,Retweet
1824,elianayjohnson,elianayjohnson,Tweet
1825,provider808,HawleyMO,Retweet
1826,HawleyMO,HawleyMO,Tweet
1827,retrogr35664579,Cernovich,Retweet
1828,Cernovich,Cernovich,Tweet
1829,iknowrightk,dcexaminer,Retweet
1830,dcexaminer,dcexaminer,Tweet
1831,baber_naqvi,mikepompeo,Retweet
1832,mikepompeo,mikepompeo,Tweet
1833,AnthonyAbides,JerryDunleavy,Retweet
1834,JerryDunleavy,JerryDunleavy,Tweet
1835,snowman10022002,RepFranklin,Retweet
1836,RepFranklin,RepFranklin,Tweet
1837,WRudhman,Cernovich,Retweet
1838,Cernovich,Cernovich,Tweet
1839,angieLovesUSA,domenicadelia22,Retweet
1840,domenicadelia22,domenicadelia22,Tweet
1841,Stillhe77170033,RepLeeZeldin,Retweet
1842,RepLeeZeldin,RepLeeZeldin,Tweet
1843,OrganicApples63,Cernovich,Retweet
1844,Cernovich,Cernovich,Tweet
1845,TamaraW86146879,Jereme45,Retweet
1846,Jereme45,Jereme45,Tweet
1847,heiser_jan,Cernovich,Retweet
1848,Cernovich,Cernovich,Tweet
1849,leungmelvin1,mikepompeo,Retweet
1850,mikepompeo,mikepompeo,Tweet
1851,Pamsta67,HawleyMO,Retweet
1852,HawleyMO,HawleyMO,Tweet
1853,BellaBe63637273,Jereme45,Retweet
1854,Jereme45,Jereme45,Tweet
1855,D19z7,StephenKing,Reply
1856,YASSQUEEN13,YASSQUEEN13,Tweet
1857,Cassand76234017,RepFranklin,Retweet
1858,RepFranklin,RepFranklin,Tweet
1859,reagan80mom1,Jereme45,Retweet
1860,Jereme45,Jereme45,Tweet
1861,D19z7,StephenKing,Reply
1862,DodgerBill4,Jereme45,Retweet
1863,Jereme45,Jereme45,Tweet
1864,Suzume_chan007,Suzume_chan007,Tweet
1865,sickofinsanity,CoryMillsFL,Retweet
1866,CoryMillsFL,CoryMillsFL,Tweet
1867,xxhiattexx,RepFranklin,Retweet
1868,RepFranklin,RepFranklin,Tweet
1869,leyli_sadat,IvoTONIUT,Retweet
1870,IvoTONIUT,IvoTONIUT,Tweet
1871,GrimmHorror,Cernovich,Retweet
1872,Cernovich,Cernovich,Tweet
1873,Dentonreen,RepFranklin,Retweet
1874,RepFranklin,RepFranklin,Tweet
1875,esferaceleste,CatholicArena,Retweet
1876,CatholicArena,CatholicArena,Tweet
1877,LisaMcC42451573,HawleyMO,Retweet
1878,HawleyMO,HawleyMO,Tweet
1879,RoslynMRushing,RepFranklin,Retweet
1880,RepFranklin,RepFranklin,Tweet
1881,EnosJill,Cernovich,Retweet
1882,Cernovich,Cernovich,Tweet
1883,1Atsuhimerose2,CatholicArena,Retweet
1884,CatholicArena,CatholicArena,Tweet
1885,Gothamguardian1,Cernovich,Retweet
1886,Cernovich,Cernovich,Tweet
1887,NoWayHome5,RepLeeZeldin,Retweet
1888,RepLeeZeldin,RepLeeZeldin,Tweet
1889,seangrady314,Cernovich,Retweet
1890,Cernovich,Cernovich,Tweet
1891,ImDavidDunn,ImDavidDunn,Tweet
1892,wendyhullfish,Cernovich,Retweet
1893,Cernovich,Cernovich,Tweet
1894,PeeWee91197678,Jereme45,Retweet
1895,Jereme45,Jereme45,Tweet
1896,SERENAWINDS0R,blaireerskine,Reply
1897,TeresaSommerfe1,Cernovich,Retweet
1898,Cernovich,Cernovich,Tweet
1899,priority,RepGregSteube,Retweet
1900,RepGregSteube,RepGregSteube,Tweet
1901,LogisticsBtc,Cernovich,Retweet
1902,Cernovich,Cernovich,Tweet
1903,wlelandj,RepJayapal,Reply
1904,104thSpringer,Cernovich,Retweet
1905,Cernovich,Cernovich,Tweet
1906,Biden_Is_Lost,Jim_Jordan,Retweet
1907,Jim_Jordan,Jim_Jordan,Tweet
1908,Criostoir_Bmore,bennyjohnson,Retweet
1909,bennyjohnson,bennyjohnson,Tweet
1910,DenisDaly,DavQuinn,Reply
1911,BobNYC59,TrueBlueResists,Reply
1912,FCNCGOP,dcexaminer,Retweet
1913,dcexaminer,dcexaminer,Tweet
1914,agabus98,agabus98,Tweet
1915,blueyedlvrgirl,Jereme45,Retweet
1916,Jereme45,Jereme45,Tweet
1917,Neil92915798,EndiZentarmi,Retweet
1918,EndiZentarmi,EndiZentarmi,Tweet
1919,bartb1067,Cernovich,Retweet
1920,Cernovich,Cernovich,Tweet
1921,DrTeufelsdrockh,CatholicArena,Retweet
1922,CatholicArena,CatholicArena,Tweet
1923,Humphrago,Cernovich,Retweet
1924,Cernovich,Cernovich,Tweet
1925,SnydyMan,RepFranklin,Retweet
1926,RepFranklin,RepFranklin,Tweet
1927,MRkDarcangelo,Cernovich,Retweet
1928,Cernovich,Cernovich,Tweet
1929,DanOHerrin,BuzzPatterson,Retweet
1930,BuzzPatterson,BuzzPatterson,Tweet
1931,93quart,CatholicArena,Retweet
1932,CatholicArena,CatholicArena,Tweet
1933,Lablover621,Cernovich,Retweet
1934,Cernovich,Cernovich,Tweet
1935,LiKwongKuen1,mikepompeo,Retweet
1936,mikepompeo,mikepompeo,Tweet
1937,MrMorga24933765,CatholicArena,Retweet
1938,CatholicArena,CatholicArena,Tweet
1939,CatholicArena,CatholicArena,Tweet
1940,Ivorpabst,DavQuinn,Reply
1941,bmorrissey,DLeonhardt,Mention
1942,tmikie2015,Cernovich,Retweet
1943,Cernovich,Cernovich,Tweet
1944,Apaulothirteen1,Cernovich,Retweet
1945,Cernovich,Cernovich,Tweet
1946,ActionTime,ActionTime,Retweet
1947,ActionTime,ActionTime,Tweet
1948,UsuallyRightt,Cernovich,Retweet
1949,Cernovich,Cernovich,Tweet
1950,jteismann,dcexaminer,Retweet
1951,dcexaminer,dcexaminer,Tweet
1952,SnydyMan,Cernovich,Retweet
1953,Cernovich,Cernovich,Tweet
1954,HobdayTheLegend,Cernovich,Retweet
1955,Cernovich,Cernovich,Tweet
1956,Barbara757276,Cernovich,Retweet
1957,Cernovich,Cernovich,Tweet
1958,mddewald,Cernovich,Retweet
1959,Cernovich,Cernovich,Tweet
1960,ciszewsm,ciszewsm,Tweet
1961,owlsfan954,semcbride100,Retweet
1962,semcbride100,semcbride100,Tweet
1963,BarBQ_MACncheez,CoryMillsFL,Retweet
