ids, screen_name, followers, retweet, inreplyto, favorite, friends, listed, location,text
185506731,ReidStan,7477,1,ReidStan,2,4844,255,Prague,I also asked him about Biden's recent comments and also the comparisons around the U.S. exit of Afghanistan with de https://t.co/CY5CYBJg0F
21421178,davidthomas38,4120,22,,0,3802,137,,"RT @imUrB00gieman: How much is Joe Biden offering to pay the Americans he abandoned in Afghanistan???  $450,000 each?

https://t.co/FJ9pVj0"
20998770,RantsOutloud,4378,1,,0,4986,82,"Virginia Beach, VA","RT @rockonblaze: @JesseKellyDC @BuckSexton @ClayTravis @LibLoserLogic @frank_in_penn @RantsOutloud 

Biden is attempting to explain to the"
8.25E+17,dougp1480,219,22,,0,413,2,,"RT @imUrB00gieman: How much is Joe Biden offering to pay the Americans he abandoned in Afghanistan???  $450,000 each?

https://t.co/FJ9pVj0"
8.16E+17,ladder_36,25,64,,0,428,1,,"RT @govkristinoem: From COVID freedom to vaccine policy, from Afghanistan to the Biden border crisis, we covered it all with @BreitbartNews"
1686416857,rockonblaze,1603,1,JesseKellyDC,2,1974,36,"Nebraska, USA","@JesseKellyDC @BuckSexton @ClayTravis @LibLoserLogic @frank_in_penn @RantsOutloud 

Biden is attempting to explain https://t.co/QOlmwhJjzk"
4530346400,jacksfriend25,693,22,,0,3743,0,Fly over Country ,"RT @imUrB00gieman: How much is Joe Biden offering to pay the Americans he abandoned in Afghanistan???  $450,000 each?

https://t.co/FJ9pVj0"
1.31E+18,EllisWa38451751,1174,0,,1,644,3,,"Between the instability, terrorism, and now the prospect of mass hunger, the botched Biden withdrawal in Afghanista https://t.co/5bPVbPJZge"
32766996,RealShaughn,743,308,,0,1959,9,"ÜT: 47.427842,-120.311596","RT @GOPChairwoman: Its been 30 days since Bidens answered a question about his border crisis.
 
41 days since hes answered a question on"
159287278,bgallagb,210,135,,0,226,19,Quebec,"RT @RepFranklin: A few weeks ago, the Biden Administration told us less than 100 Americans were stuck in Afghanistan. Now that number is 45"
233293612,CurtGehl,68,698,,0,43,0,Stilwell KS,"RT @mikepompeo: ""@StateDept announces that since Thursday, it has been contacted by another 76 American citizens in Afghanistan, of whom 20"
1.41E+18,_dailyscope,51,0,,0,128,1,," World top topics in media headlines:
https://t.co/0MuNTBvi2k

1. Biden
2. China
3. G20
4. Covid
5. France
6. Afg https://t.co/lWCfDPpQgv"
8.38E+17,NYformerDem,2228,3125,,0,3300,1,Up here,RT @HawleyMO: NEWS: This email was shared w/ me by an American official present jn Afghanistan during the evacuation who was shocked by Adm
1.26E+18,TimothyNMarsha1,3950,22,,0,4989,3, #NurembergCode #NurembergCode,"RT @imUrB00gieman: How much is Joe Biden offering to pay the Americans he abandoned in Afghanistan???  $450,000 each?

https://t.co/FJ9pVj0"
1.15E+18,mlrupps,1126,22,,0,1966,0,"Ohio, USA","RT @imUrB00gieman: How much is Joe Biden offering to pay the Americans he abandoned in Afghanistan???  $450,000 each?

https://t.co/FJ9pVj0"
1.07E+18,HollyGo55,4632,0,prdbowhunter,1,5089,4,New York ❤️🗽 Scotland,"@prdbowhunter @rhonda_harbison @CNNPolitics The 745,000 dead from Covid would disagree. The whole Afghanistan debac https://t.co/9r2IsRp05j"
23134835,HoosierFordMan,192,2347,,0,554,4,The Hoosier State,RT @Cernovich: They are more upset about a Tucker Carlson movie (that they haven't even seen) than those kids the Pentagon killed in a dron
486717806,ConservaivGenie,96,0,,0,512,0,Near Gotham,"#Democrats &amp; #Biden are worried about #Sudans unborn democracy, but theyre timid when it comes to #Afghanistans https://t.co/yPdWuy2Bxo"
1.42E+18,RedlineSearch23,443,22,,0,878,0,,"RT @imUrB00gieman: How much is Joe Biden offering to pay the Americans he abandoned in Afghanistan???  $450,000 each?

https://t.co/FJ9pVj0"
8.20E+17,gamerwirheart,104,11,,0,191,0,,"RT @BenjySarlin: As of July, there were lots of happy headlines about bipartisan infrastructure, economy, and especially COVID decline. Sin"
1156206252,avnblogfeed,279,0,,0,3,22,"Philadelphia, Pa",Biden defends US troop withdrawal from Afghanistan lWNT https://t.co/4wqbyGJJwi
2598152190,PGtwentytwo,1730,22,,0,1970,1,🇺🇸🇺🇸🇺🇸,"RT @imUrB00gieman: How much is Joe Biden offering to pay the Americans he abandoned in Afghanistan???  $450,000 each?

https://t.co/FJ9pVj0"
8.83E+17,Slamphear4,554,22,,0,1251,0,,"RT @imUrB00gieman: How much is Joe Biden offering to pay the Americans he abandoned in Afghanistan???  $450,000 each?

https://t.co/FJ9pVj0"
1.24E+18,SAMUELUSA2,491,1,,0,1311,2,"Nashville, TN","RT @FRCdc: ""He's been wrong on the Afghanistan issue on numerous occasions throughout the years."" @davidharsanyi gives an overview of Presi"
1.45E+18,XG_YWW,10,1,,0,280,0,,"RT @michaelsobolik: If the State Dept agrees to list TIP, the CCP will likely accept that.

If State hesitates, the CCP could get creative."
1.39E+18,mark71525711,8,0,mark71525711,0,41,0,,"@tropicalswell @freehumanity911 Youre high.  Gas prices were not as high before Biden, Afghanistan was not a mess, https://t.co/LRfCmGGvPI"
1.14E+18,CatOlvedo,143,698,,0,347,1,,"RT @mikepompeo: ""@StateDept announces that since Thursday, it has been contacted by another 76 American citizens in Afghanistan, of whom 20"
9.30E+17,ThatHowieHowell,536,64,,0,1328,1,,"RT @govkristinoem: From COVID freedom to vaccine policy, from Afghanistan to the Biden border crisis, we covered it all with @BreitbartNews"
186834280,MrFluffersMom,337,2347,,0,548,0,"Dublin, OH",RT @Cernovich: They are more upset about a Tucker Carlson movie (that they haven't even seen) than those kids the Pentagon killed in a dron
1.37E+18,betsysewgood,413,22,,0,1118,0,Everywhere at once,"RT @imUrB00gieman: How much is Joe Biden offering to pay the Americans he abandoned in Afghanistan???  $450,000 each?

https://t.co/FJ9pVj0"
1.36E+18,imUrB00gieman,22966,22,,34,22539,32,The Continental Hotel,"How much is Joe Biden offering to pay the Americans he abandoned in Afghanistan???  $450,000 each?

https://t.co/FJ9pVj0sGZ"
1.37E+18,VandenbergCo,430,6,,0,73,6,,"RT @mdubowitz: What Iran Has Learned From Bidens Afghanistan Debacle

Like other adversaries, it is more emboldened, willing to take more"
2233383822,JaeMoff,425,64,,0,384,53,,"RT @govkristinoem: From COVID freedom to vaccine policy, from Afghanistan to the Biden border crisis, we covered it all with @BreitbartNews"
